NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00257065-01,OC(=O)C1=C(O)C=CC=C1
NCGC00258104-01,OC1=CC=C(C=C1)C(=O)C2=CC=C(O)C=C2
NCGC00260516-01,Cl.NO
NCGC00259581-01,COS(=O)(=O)OC
NCGC00164539-01,ClC1=CC=C2SC3=C(C=CC=C3)N(C(=O)CCN4CCN5CCCC5C4)C2=C1
NCGC00257653-01,CC(=O)NNC(C)=O
NCGC00092328-01,OC(=O)C1=CC2=C(NC=C2CCCCN3CCC(=CC3)C4=CC=CC=C4)C=C1
NCGC00254286-01,CCCCCCCCCCCCCCCCO
NCGC00260154-01,CC[C@H](C)COC(=O)\C=C\C1=CC=C(C=C1)\N=C\C2=CC=C(OC)C=C2
NCGC00257631-01,CC(C)(C)CC(C)(C)N
NCGC00181793-01,Cl.Cl.NC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
NCGC00260363-01,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
NCGC00256581-01,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
NCGC00254005-01,CC1=CC=CC(C)=C1O
NCGC00258335-01,CCCCOCC(C)OCC(C)O
NCGC00024504-05,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O
NCGC00160604-01,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
NCGC00260124-01,CO[Si](OC)(OC)C=C
NCGC00255073-01,NCC1CCCC(CN)C1
NCGC00255994-01,[H][C@]12CC[C@](C)(C1)[C@@H](O)C2(C)C
NCGC00254096-01,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00255345-01,[H][C@]12N(C)CC[C@@]1(C)C3=C(C=CC(OC(=O)NC)=C3)N2C
NCGC00183827-01,Cl.C(CC1=CNC2=C1C=CC=C2)C3CCNCC3
NCGC00259728-01,ClC1=CC(Cl)=CC=C1
NCGC00186466-01,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CC[C@H](OC(C)=O)C=C4CC[C@@]23[H]
NCGC00258253-01,Cl.N[C@@H](CS)C(O)=O
NCGC00255108-01,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00255723-01,OS(=O)(=O)C1=CC=C(Cl)C=C1
NCGC00259870-01,CCC(O)OC(O)CC
NCGC00254110-01,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1
NCGC00259923-01,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00183860-01,CN(CC1(C)CCCO1)S(=O)(=O)C2=CC=C(Cl)C(=C2)S(N)(=O)=O
NCGC00254795-01,CCCC(=O)OCC1=CC=CC=C1
NCGC00257641-01,NC1=NC2=C(S1)C=CC=C2Cl
NCGC00016508-01,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O
NCGC00018271-03,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
NCGC00258100-01,CCCCCCCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00259260-01,O=C(NC1=CC=CC=C1SSC2=C(NC(=O)C3=CC=CC=C3)C=CC=C2)C4=CC=CC=C4
NCGC00260390-01,NC1=C(C=C(SC#N)C=C1)[N+]([O-])=O
NCGC00255281-01,OC(=O)C1=C(C=CC=C1)C(=O)NC2=CC=CC3=C2C=CC=C3
NCGC00254354-01,CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C3=CC=CC=C3Cl
NCGC00256529-01,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C)[C@H](C)\C=C\[C@H](C)C(C)C
NCGC00259811-01,OCC(O)CCl
NCGC00256496-01,Cl.CNC[C@H](O)C1=CC(O)=CC=C1
NCGC00256463-01,OC(=O)CCCCCCCCCCCC(O)=O
NCGC00182986-01,CCC(C(=O)NC(=O)NC(C)=O)C1=CC=CC=C1
NCGC00181305-01,O.O.O.O.O=C1O[Mg]2(OC(=O)C3=CC=CC=C3O2)OC4=CC=CC=C14
NCGC00256081-01,N#CCCOCCOCCC#N
NCGC00247725-01,OC(=O)\C=C\C(O)=O.CCN(CC)CCC1=CNC2=CC=CC=C12.CCN(CC)CCC3=CNC4=CC=CC=C34
NCGC00255741-01,CCOC(OCC)OCC
NCGC00258448-01,OC(=O)C(Cl)Br
NCGC00164447-01,CC(C)(OC1=CC=C(C=C1)C2CC2(Cl)Cl)C(O)=O
NCGC00258671-01,CCCC(=O)CC
NCGC00255540-01,NC1=C2CCCCC2=NC3=C1C=CC=C3
NCGC00254797-01,COC1=NC(NC(C)C)=NC(NC(C)C)=N1
NCGC00255084-01,CCCCOP(O)(=O)OCCCC
NCGC00168269-02,Cl.COC1=CC(CC(C)N)=C(OC)C=C1
NCGC00255716-01,COC(=O)CCCC(O)=O
NCGC00259740-01,O=CC1=CC=CO1
NCGC00091533-04,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00258085-01,OC(=O)CCCCCCC(O)=O
NCGC00090879-01,NC1=NC2=C(NC=N2)C(=S)N1
NCGC00255810-01,CCCCOC(CC)OC(C)COC(O)CC
NCGC00096080-01,O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O
NCGC00159434-02,CCN(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00256392-01,O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N3CCCCC3
NCGC00164140-03,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O
NCGC00016651-03,CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O
NCGC00025283-01,CC1(OC(=CC1=O)C(O)=O)C2=CC=CC=C2
NCGC00257347-01,OCCC1=CC=CC=C1
NCGC00259202-01,CCC(O)OCCCOC
NCGC00257715-01,CCCCOC(=O)C(C)=C
NCGC00258881-01,Cl.ClCC1=NC=CC=C1
NCGC00258901-01,C=CC(=O)OCCCCCCOC(=O)C=C
NCGC00259591-01,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC
NCGC00257910-01,CC(C)Br
NCGC00259411-01,BrC1=CC(Br)=C(Br)C=C1
NCGC00256599-01,CC1=C(Cl)C=C(N)C=C1
NCGC00257307-01,CC(=C)CCl
NCGC00025188-04,O.CC(N\C(NC1=CC=NC=C1)=N/C#N)C(C)(C)C
NCGC00168348-01,CC(C)CN1C=NC2=C1C(=O)N(C)C(=O)N2C
NCGC00254798-01,NC1=CC=C(C=C1)S(=O)(=O)NC2=CN=C3C=CC=CC3=N2
NCGC00168785-01,ClC1=CC=C(C=C1)C(C#N)C2=C(Cl)C=C(C=C2Cl)N3N=CC(=O)NC3=O
NCGC00096003-01,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN3C[C@@H](C)C[C@@H](C)C3)C[C@@H](C)C(=O)\C=C\C(C)=C\[C@@H]1CO[C@@H]4O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]4OC
NCGC00258661-01,ClCC(Cl)(Cl)Cl
NCGC00256753-01,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C
NCGC00259446-01,[Na+].[Na+].OC1=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C3=C(C=C1)C=C(C=C3)S([O-])(=O)=O
NCGC00258180-01,[I-].CC[N+]1(C)CCCC1
NCGC00259668-01,CC(CCO)CCC=C(C)C
NCGC00257090-01,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1
NCGC00167569-01,[H][C@]12C[C@@H](OC(=O)COC3=CC=C(OC)C=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]4([H])N(CCC5=C4NC6=C5C=CC(OC)=C6)C2
NCGC00093759-01,Cl.CCC1=CC=CC(=C1)N(C)C(=N)NC2=CC=CC3=C2C=CC=C3
NCGC00015725-02,CS(=O)(=O)NC1=CC=C(C=C1OC2=CC=CC=C2)[N+]([O-])=O
NCGC00256106-01,C(COCC1CO1)OCC2CO2
NCGC00015703-03,CNC1(C)C2CCC(C2)C1(C)C
NCGC00258899-01,NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(N)C=C2
NCGC00256858-01,CCCCCCOC(=O)CCCCC
NCGC00256696-01,COC(OC)C(C)C1=CC=CC=C1
NCGC00259377-01,S=C1NC2=CC=CC=C2N1
NCGC00256494-01,CC(O)CC(C)(C)O
NCGC00259984-01,CC1=CC(=CC=C1)[N+]([O-])=O
NCGC00259491-01,NC=O
NCGC00257468-01,COC1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)S(C)=O)C(F)F
NCGC00254131-01,Cl.CCOC(=O)COC1=CC2=C(CCC(C2)NCC(O)C3=CC(Cl)=CC=C3)C=C1
NCGC00167509-01,[Br-].CC[N+]3(CCOC(=O)C(O)(C1=CC=CC=C1)C2=CC=CC=C2)CCCCC3
NCGC00257488-01,COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O
NCGC00257143-01,FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=CC=C(Cl)C=C2
NCGC00256367-01,CCCCCCCCCCN
NCGC00260168-01,Cl[Fe-](Cl)(Cl)Cl.CCCCN1C=C[N+](C)=C1
NCGC00256621-01,COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC
NCGC00256053-01,CC(=O)O[Al](O)O
NCGC00258051-01,[Na+].CN(CS([O-])(=O)=O)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2
NCGC00259988-01,C=CCC1=CC=C2OCOC2=C1
NCGC00257157-01,ClC(=O)C1=CC(=CC=C1)C(Cl)=O
NCGC00255093-01,CC(CCC=C(C)C)CC=O
NCGC00260111-01,COP(Cl)(=S)OC
NCGC00255193-01,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(O)C=C4
NCGC00258226-01,CC1=CC2=C(C=C1)C(C)=CC=C2
NCGC00258849-01,CC(C)(C1=CC=CC=C1)C2=CC=C(O)C=C2
NCGC00160501-01,O=C1CCCCC1CN2CCCCC2
NCGC00254372-01,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
NCGC00256099-01,CCCCCCCCCCCC[N+](C)(C)CC([O-])=O
NCGC00257285-01,CCC1=CC=CC(C)=C1N
NCGC00257826-01,O=CC=CC1=CC=CC=C1
NCGC00247680-01,O[C@H]([C@@H](O)C(O)=O)C(O)=O.C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(C3=CC=CC=C3)C4=CC=CC=C4
NCGC00258717-01,OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O
NCGC00255196-01,CCCN(CCCl)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
NCGC00160358-01,O=C1N2CC3=C(C=CC=C3)C(=O)N2CC4=CC=CC=C14
NCGC00259099-01,OC(=O)C1=CC2=C(C=CC=C2)C=C1O
NCGC00255148-01,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C
NCGC00255176-01,Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2C
NCGC00093685-01,Cl.CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O
NCGC00254660-01,COC1=CC=C(CCO)C=C1
NCGC00016308-01,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=C2)C(C)C
NCGC00257854-01,NC1CCC(CC2CCC(N)CC2)CC1
NCGC00016924-02,COC1=C(C=CC(=C1)S(C)=O)C2=NC3=C(N2)C=CC=N3
NCGC00091080-03,[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O
NCGC00259749-01,CC1=CC=C(O1)C(O)=O
NCGC00260080-01,CC(O)COC(=O)C(C)=C
NCGC00255252-01,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
NCGC00255266-01,[Na+].COC1=CC=C(C=C1)C(=O)C(\Br)=C/C([O-])=O
NCGC00091183-02,OC1=C(Br)C=C(Br)C=C1Br
NCGC00254501-01,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
NCGC00255491-01,NCCCN1CCOCC1
NCGC00095304-02,[O-][N+](=O)C1=CC=C(O1)\C=N\N2CCOC2=O
NCGC00259187-01,C1=CC2=C(C=C1)C3=C(C=CC=C3)C=C2
NCGC00159465-02,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@@]2([H])NC(=O)CN4C=NN=N4)C(O)=O
NCGC00164380-02,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=C(O)C(=O)CC[C@]34C
NCGC00182990-01,[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(CCCCN4CCN(CC4)C5=NC=CC=N5)C2=O
NCGC00254998-01,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O
NCGC00259068-01,CC(=O)NC1=CC=C2C(CC3=C2C=CC(NC(C)=O)=C3)=C1
NCGC00257524-01,Cl.NC1=CC=C(C=C1)C2=CC=CC=C2
NCGC00256844-01,O=C(OCCCC1=CC=CC=C1)C=CC2=CC=CC=C2
NCGC00256036-01,CCCCNC1CC(C)(C)NC(C)(C)C1
NCGC00259053-01,CC(=O)C=CC1=CC=CC=C1
NCGC00259702-01,Cl.NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1
NCGC00259701-01,Cl.Cl.COC1=CC(=CC=C1N)C2=CC=C(N)C(OC)=C2
NCGC00258499-01,FC(F)(F)C1=CC=C(Cl)C=C1Cl
NCGC00183021-01,C\C(=N/O)C1=CC=C(OCC(=O)N2CCCCC2)C=C1
NCGC00258791-01,OC(=O)C1=CC(=CC=C1O)\N=N\C2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3
NCGC00022408-03,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(=O)C(C)(C)C)C1(C)C[C@H](O)[C@@]3(F)C2([H])C[C@H](F)C4=CC(=O)C=CC34C
NCGC00259541-01,CCCCC(CC)COC(C)=O
NCGC00164586-01,Cl.COC(=O)C1=CC=CC=C1C(=O)C2=CC=C(OCCN3CCCCC3)C=C2
NCGC00160581-01,CC1CC(O)CC(C)(C)C1
NCGC00254914-01,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
NCGC00096040-01,OS(O)(=O)=O.OS(O)(=O)=O.[H][C@](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@@]3([H])O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]3O)C4=CN=CN4)([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCCNC(N)=N
NCGC00254102-01,CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C3=CC(=CC=C3)C(F)(F)F
NCGC00257754-01,OCC=C
NCGC00247722-01,Cl.ClC1=CC=C(C=N1)[C@@H]2C[C@H]3CC[C@@H]2N3
NCGC00255182-01,CCCSP(=S)(OCC)OC1=CC=C(SC)C=C1
NCGC00168253-01,[H][C@@]12C=C[C@H](OC(C)=O)[C@@H]3OC4=C(OC(C)=O)C=CC5=C4[C@]13CCN(C)[C@@H]2C5
NCGC00254126-01,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC
NCGC00160548-01,CCOC1=CC=C(C=C1)N=NC2=C(N)C=C(N)C=C2
NCGC00260544-01,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1
NCGC00256035-01,O=C=NCC1CCCC(CN=C=O)C1
NCGC00160438-01,C(CC1=CC=CC=C1)NC2=NC(=CS2)C3=CC=CC=C3
NCGC00095837-01,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
NCGC00254883-01,OC(=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=N1
NCGC00255840-01,CCCCCCCC(=O)OCC(O)CO
NCGC00255867-01,CC1=CC2=C(N=C1)C(C(O)=O)=C(Cl)C=C2
NCGC00254657-01,CCCSP(=O)(OCC)OC1=C(Cl)C=C(Br)C=C1
NCGC00090797-03,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C5=CC(=O)OC5)[C@@]1(C)CC[C@@H](C2)O[C@H]6C[C@H](O)[C@H](O[C@H]7C[C@H](O)[C@H](O[C@H]8C[C@H](O)[C@H](O)[C@@H](C)O8)[C@@H](C)O7)[C@@H](C)O6
NCGC00259138-01,OC1=C(Cl)C=C(Cl)C=C1
NCGC00257711-01,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
NCGC00017021-01,CS(O)(=O)=O.CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
NCGC00259278-01,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
NCGC00259435-01,Cl.CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2
NCGC00255274-01,CCCSSCCC
NCGC00016119-02,CC1=CC=C(C=C1)S([O-])(=O)=O.CC[N+](C)(C)CC2=CC=CC=C2Br
NCGC00259707-01,NC(N)=O
NCGC00168255-01,Cl.[H][C@@]12C=C[C@H](O)[C@@H]3OC4=C(O)C=CC5=C4[C@]13CCN(CC=C)[C@@H]2C5
NCGC00256917-01,C=CC(=O)OCCOC(=O)C=C
NCGC00258741-01,OC(=O)C1=CC=CC(Cl)=C1Cl
NCGC00260456-01,CC1=CC(O)=CC=C1N
NCGC00255921-01,CCCOC(OCCC)OCCC
NCGC00253986-01,CC1=C(N)C=CC=C1
NCGC00255927-01,Cl.CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1
NCGC00256755-01,[Na+].CC(C)C1=CC=C(C=C1)S([O-])(=O)=O
NCGC00167515-01,CCCCCCCCCCCCCCCCCCCCCC(=O)NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O
NCGC00259133-01,CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00255797-01,Cl.C[C@H](CC1=CC=CC=C1)N(C)CC#C
NCGC00165899-01,CS(=O)(=O)NC(=O)CCC\C=C/C[C@@H]1[C@@H](\C=C\[C@H](O)COC2=CC=CC=C2)[C@H](O)CC1=O
NCGC00258338-01,O=[Cr]O[Cr]=O
NCGC00254539-01,CC\C(C1=CC=C(O)C=C1)=C(\CC)C2=CC=C(O)C=C2
NCGC00259358-01,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00166059-01,CC(=O)O[Al](O)OC(C)=O
NCGC00255670-01,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(C)=CC(C)=N2
NCGC00247705-01,Cl.CCN[C@@H](C)CC1=CC=CC=C1
NCGC00259030-01,CCCCCCCCC
NCGC00255625-01,CC(C)CCC(=O)CCC(C)C
NCGC00259295-01,CCCCOCC1CO1
NCGC00254681-01,CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2
NCGC00257374-01,CC(C)(C)C1=CC=C(OC(=O)C2=C(O)C=CC=C2)C=C1
NCGC00255324-01,C1CCC(CC1)N(SC2=NC3=C(S2)C=CC=C3)C4CCCCC4
NCGC00256751-01,COC(=O)C1=CC=C(OC)C=C1
NCGC00259509-01,OS(=O)(=O)C1=CC=CC=C1
NCGC00257079-01,Cl.NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
NCGC00254260-01,NC1=CC(N)=CC=C1
NCGC00259457-01,NC1=CC(Cl)=C(N)C(Cl)=C1
NCGC00258526-01,OC1=CC=C(SC2=CC=C(O)C=C2)C=C1
NCGC00094532-06,OC(=O)CCCOC1=CC=C(Cl)C=C1Cl
NCGC00183832-01,Cl.Cl.CC(N)C(=O)N(CCCC1=CC=CN=C1)C2=C(C)C=CC=C2C
NCGC00255823-01,CCCCCCCC1CCCC1=O
NCGC00091643-07,SC1=NC2=C(S1)C=CC=C2
NCGC00094738-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00259898-01,CCCCCC1=CC(O)=CC(O)=C1
NCGC00257836-01,CCCCC#N
NCGC00257936-01,ClCC(Br)CBr
NCGC00254856-01,OC(=O)CCCCCCCCCC(O)=O
NCGC00258034-01,COC1=CC=C(Br)C(C)=C1
NCGC00258615-01,CCC(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00179341-02,CN1C2=CC=CC=C2C3=C1CCC(CN4C=CN=C4C)C3=O
NCGC00258662-01,[H][C@@]1(C[C@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C3=CC=NC4=CC=C(OC)C=C34
NCGC00091009-05,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00257426-01,CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](C[C@H]2CCC(=O)C2)C(=O)NC3=NC=CN=C3
NCGC00259593-01,CC(CCC=C(C)C)C=C
NCGC00163771-03,COCCOCCO
NCGC00255470-01,ClC1=CC(Cl)=C(C=C1)C3(CN2C=NC=N2)OCCO3
NCGC00259226-01,N1C=CC2=C1C=CC=C2
NCGC00254123-01,OC(CCl)CCl
NCGC00256651-01,[Na+].CCCC(CCC)C([O-])=O
NCGC00015998-04,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3C2=CCCN4CCN(C)CC4)C=C1
NCGC00259139-01,CC(=O)OCC1=CC=CO1
NCGC00254794-01,OC(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00159446-02,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
NCGC00160422-01,Cl.CC(C)(N)CC1=CC=C(Cl)C=C1
NCGC00016723-01,CC1=NC=C(N1CC(O)CCl)[N+]([O-])=O
NCGC00256854-01,CC(C)COC(=O)C1=CC=CC=C1O
NCGC00258404-01,FC(F)(F)C(Cl)Br
NCGC00093898-02,Cl.O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1
NCGC00255552-01,ClC1=CC2=C(NC(=O)O2)C=C1
NCGC00259148-01,COCN(COC)C1=NC(=NC(=N1)N(COC)COC)N(COC)COC
NCGC00160569-01,CN(CC1=CC=CC=C1)CC2=CC=CC=C2
NCGC00168252-01,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3
NCGC00257144-01,CC(=C)C(=O)OCCOC(=O)C(C)=C
NCGC00254972-01,CC(C)NC1=NC(Cl)=NC(N)=N1
NCGC00254353-01,CC(=O)OCCOCCOCCOC(C)=O
NCGC00260477-01,NC1=NC(Cl)=CC(Cl)=N1
NCGC00254399-01,C1=CC2=C3C1=CC=CC3=CC=C2
NCGC00095403-01,Cl.[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@]6(CC[C@H](C)CN6)O2
NCGC00256741-01,CC1=C(C=O)C(C)(C)CCC1
NCGC00256528-01,Cl.NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1
NCGC00018200-07,OC1=CC=C(C=C1)C2(OC(=O)C3=C2C=CC=C3)C4=CC=C(O)C=C4
NCGC00016675-01,Cl.CC(C)NCC(O)COC1=CC=CC=C1OCC=C
NCGC00258037-01,OS(O)(=O)=O
NCGC00094179-02,Cl.CN(C)CCN(CC1=CC=CS1)C2=NC=CC=C2
NCGC00257786-01,CC1=CC(N)=CC(C)=C1
NCGC00256252-01,CC(C)OC(=O)C1=CC=CC=C1
NCGC00016956-01,OCCN(C(=O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
NCGC00254212-01,O=C1OC(=O)C2C3CC(C=C3)C12
NCGC00256578-01,ON=C1CCCCC1
NCGC00260335-01,[Na+].[Na+].[Na+].OC1=C(C=C2C=C(C=CC2=C1\N=N/C3=C4C=CC=CC4=C(C=C3)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O
NCGC00253995-01,[O-][N+](=O)C1=CC=C(Cl)C=C1
NCGC00247727-01,Cl.CCCN(CCC)CCC1=CNC2=CC=CC=C12
NCGC00024733-02,CC(=O)OC1CN2CCC1CC2
NCGC00255421-01,CN(C)CC1=CC=CC=C1O
NCGC00257442-01,CCCCCCCCC=O
NCGC00160588-02,CC1=CC=C(C=C1)C(C)(C)C2=CC=C(C)C=C2
NCGC00256949-01,CCCCCCCCCCCCC1=CC=CC=C1
NCGC00254246-01,ClC1=CC(Cl)=C(Cl)C=C1Cl
NCGC00259550-01,COC1=CC=C(C=CC)C=C1
NCGC00015693-02,Cl.Cl.OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C3=C(C2=O)C(O)=CC=C3O
NCGC00257228-01,CC(C)C1=CC=CC(C(C)C)=C1O
NCGC00254037-01,OC1=CC=C(O)C=C1
NCGC00254258-01,[Na+].CN(C)C([S-])=S
NCGC00166415-01,Cl.[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]4CN5CCC4CC5
NCGC00260236-01,[O-]S(=O)(=O)C(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00256634-01,OCC1CCC=CC1
NCGC00257547-01,CN(C)C1=CC=C(SC#N)C=C1
NCGC00164550-01,O=C(CS(=O)CC1=CC=CO1)NC\C=C/COC2=NC=CC(CN3CCCCC3)=C2
NCGC00254191-01,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C4=CC=NC=C4)N=C(C5=CC=CC=C5)C3=C1
NCGC00254247-01,CC1CC(OC(C)=O)OC(C)O1
NCGC00255763-01,[Na+].[Na+].OC1=CC2=C(C=C(C=C2)S([O-])(=O)=O)C=C1S([O-])(=O)=O
NCGC00255248-01,CC(C)(C)C(=O)CCC1=CC=C(Cl)C=C1
NCGC00254160-01,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
NCGC00016521-01,CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C
NCGC00260038-01,Cl[V](Cl)(C1C=CC=C1)C2C=CC=C2
NCGC00016065-07,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
NCGC00256131-01,CCOC(=O)CCCCCCCCC=C
NCGC00255535-01,CC(O)C(CO)C(C)O
